fp,u2,equilibrium_type,final_alpha,final_beta,final_gamma
99.1836734693878,0.192307692307692,2,0,0.999993504373883,4.94065645841247e-324
103.061224489796,0.192307692307692,2,0,0.999952779213185,9.88131291682493e-324
106.938775510204,0.192307692307692,2,0,0.999994789085309,4.94065645841247e-324
110.816326530612,0.192307692307692,2,0,0.999958258614389,9.88131291682493e-324
114.69387755102,0.192307692307692,2,0,0.999964255881662,4.94065645841247e-324
118.571428571429,0.192307692307692,2,0,0.999964019571621,4.94065645841247e-324
122.448979591837,0.192307692307692,2,0,0.99998582382067,9.88131291682493e-324
126.326530612245,0.192307692307692,2,0,0.999985742632517,9.88131291682493e-324
130.204081632653,0.192307692307692,2,0,0.9999660891098,9.88131291682493e-324
134.081632653061,0.192307692307692,2,0,0.999962599777283,9.88131291682493e-324
137.959183673469,0.192307692307692,2,0,0.999962601987629,9.88131291682493e-324
141.836734693878,0.192307692307692,2,0,0.999962664913124,9.88131291682493e-324
145.714285714286,0.192307692307692,2,0,0.999951959091642,9.88131291682493e-324
149.591836734694,0.192307692307692,2,0,0.999952081559632,9.88131291682493e-324
153.469387755102,0.192307692307692,2,0,0.999952209103382,9.88131291682493e-324
157.34693877551,0.192307692307692,2,0,0.999952332059469,9.88131291682493e-324
161.224489795918,0.192307692307692,2,0,0.999952465721545,9.88131291682493e-324
165.102040816327,0.192307692307692,2,0,0.999951310673393,9.88131291682493e-324
168.979591836735,0.192307692307692,2,0,0.99995178819784,9.88131291682493e-324
172.857142857143,0.192307692307692,2,0,0.999974607295456,9.88131291682493e-324
176.734693877551,0.192307692307692,2,0,0.999978892286968,9.88131291682493e-324
180.612244897959,0.192307692307692,2,0,0.999984179706843,9.88131291682493e-324
184.489795918367,0.192307692307692,2,0,0.999920320400493,9.88131291682493e-324
188.367346938776,0.192307692307692,2,0,0.999932299138703,9.88131291682493e-324
192.244897959184,0.192307692307692,2,0,0.999959372062128,9.88131291682493e-324
196.122448979592,0.192307692307692,2,0,0.99996464967678,9.88131291682493e-324
200,0.192307692307692,2,0,0.999971458272582,4.94065645841247e-324
10,0.215384615384615,2,0,0.999949620506207,4.94065645841247e-324
13.8775510204082,0.215384615384615,2,0,0.999964626797648,9.88131291682493e-324
17.7551020408163,0.215384615384615,2,0,0.999966807275757,9.88131291682493e-324
21.6326530612245,0.215384615384615,2,0,0.999969417974143,9.88131291682493e-324
25.5102040816327,0.215384615384615,2,0,0.999972622201359,9.88131291682493e-324
29.3877551020408,0.215384615384615,2,0,0.999970524694145,9.88131291682493e-324
33.265306122449,0.215384615384615,2,0,0.999972320268229,9.88131291682493e-324
37.1428571428571,0.215384615384615,2,0,0.999971991058948,9.88131291682493e-324
41.0204081632653,0.215384615384615,2,0,0.999969493519833,9.88131291682493e-324
44.8979591836735,0.215384615384615,2,0,0.999977027789505,9.88131291682493e-324
48.7755102040816,0.215384615384615,2,0,0.999976328794188,9.88131291682493e-324
52.6530612244898,0.215384615384615,2,0,0.999976036251121,9.88131291682493e-324
56.530612244898,0.215384615384615,2,0,0.999976020685986,9.88131291682493e-324
60.4081632653061,0.215384615384615,2,0,0.999975959470944,9.88131291682493e-324
64.2857142857143,0.215384615384615,2,0,0.999948932793044,9.88131291682493e-324
68.1632653061224,0.215384615384615,2,0,0.99994901405031,9.88131291682493e-324
72.0408163265306,0.215384615384615,2,0,0.999949181604537,9.88131291682493e-324
75.9183673469388,0.215384615384615,2,0,0.999976250703058,9.88131291682493e-324
79.7959183673469,0.215384615384615,2,0,0.999977034257468,9.88131291682493e-324
83.6734693877551,0.215384615384615,2,0,0.999948144841325,9.88131291682493e-324
