time,platform_strategy,creator_strategy,user_strategy
0.468468,0.116537,0.459179,0.989859
0.469670,0.106717,0.446447,0.989471
0.470871,0.098457,0.433673,0.988473
0.472072,0.089796,0.419671,0.986964
0.473273,0.082183,0.406601,0.985927
0.474474,0.073231,0.393242,0.984790
0.475676,0.065369,0.380029,0.983225
0.476877,0.059345,0.368920,0.981895
0.478078,0.053583,0.356250,0.980642
0.479279,0.048228,0.343315,0.979857
0.480480,0.043725,0.332606,0.978637
0.481682,0.039264,0.318675,0.977585
0.482883,0.035077,0.306408,0.976229
0.484084,0.030718,0.294651,0.974225
0.485285,0.029599,0.282041,0.972907
0.486486,0.026593,0.270692,0.971547
0.487688,0.024113,0.258686,0.970294
0.488889,0.020839,0.246192,0.968709
0.490090,0.016280,0.236347,0.967584
0.491291,0.012493,0.224813,0.966302
0.492492,0.009738,0.213970,0.965292
0.493694,0.006973,0.203400,0.964034
0.494895,0.006443,0.192663,0.962740
0.496096,0.007272,0.183197,0.961701
0.497297,0.006971,0.173033,0.961602
0.498498,0.005883,0.162675,0.960751
0.499700,0.005115,0.153009,0.959371
0.500901,0.006552,0.143516,0.959123
0.502102,0.005916,0.136693,0.957548
0.503303,0.008139,0.128048,0.956568
0.504505,0.009294,0.119920,0.955554
0.505706,0.010102,0.112195,0.954162
0.506907,0.011130,0.103080,0.953077
0.508108,0.013950,0.094008,0.952115
0.509309,0.016550,0.087252,0.951492
0.510511,0.019707,0.079520,0.950941
0.511712,0.020973,0.070994,0.950155
0.512913,0.024180,0.064581,0.948668
0.514114,0.027139,0.057660,0.947399
0.515315,0.031065,0.052194,0.946048
0.516517,0.035085,0.048538,0.945409
0.517718,0.039620,0.042575,0.945668
0.518919,0.043943,0.036634,0.945173
0.520120,0.048692,0.032234,0.945512
0.521321,0.054197,0.027555,0.946203
0.522523,0.058474,0.023649,0.946713
0.523724,0.064508,0.021555,0.947894
0.524925,0.070142,0.018700,0.948767
0.526126,0.075120,0.016437,0.949447
0.527327,0.082236,0.015374,0.949584
0.528529,0.089226,0.012349,0.950418
0.529730,0.095375,0.010052,0.951630
0.530931,0.103204,0.008460,0.952758
0.532132,0.111334,0.008196,0.953740
0.533333,0.120405,0.008065,0.955088
0.534535,0.128942,0.007403,0.955597
0.535736,0.140099,0.008221,0.956019
0.536937,0.150897,0.009429,0.957653
0.538138,0.159182,0.010046,0.959144
0.539339,0.168520,0.011050,0.960275
0.540541,0.179227,0.011277,0.960936
0.541742,0.190277,0.011571,0.962559
0.542943,0.200443,0.014234,0.963852
0.544144,0.210379,0.016128,0.965869
0.545345,0.222267,0.018417,0.967710
0.546547,0.233470,0.020269,0.969580
0.547748,0.245476,0.023421,0.971108
0.548949,0.257228,0.026064,0.972207
0.550150,0.268931,0.030443,0.974428
0.551351,0.281957,0.033890,0.976496
0.552553,0.296020,0.037465,0.978263
0.553754,0.308935,0.042941,0.980207
0.554955,0.323202,0.048397,0.982058
0.556156,0.334287,0.054975,0.984142
0.557357,0.345786,0.059639,0.986327
0.558559,0.358871,0.065909,0.987423
0.559760,0.371569,0.070778,0.989614
0.560961,0.385076,0.078279,0.991609
0.562162,0.397874,0.085080,0.992179
0.563363,0.410438,0.090506,0.994008
0.564565,0.422979,0.097061,0.994750
0.565766,0.437608,0.103417,0.995917
0.566967,0.451604,0.110687,0.996952
0.568168,0.465188,0.119060,0.997379
0.569369,0.479148,0.128466,0.997615
0.570571,0.491341,0.137388,0.997614
0.571772,0.503658,0.147480,0.997234
0.572973,0.518608,0.158769,0.997021
0.574174,0.531204,0.168963,0.997814
0.575375,0.545347,0.180982,0.998432
0.576577,0.558696,0.192297,0.999275
0.577778,0.571783,0.201687,0.999308
0.578979,0.585260,0.212609,0.999317
0.580180,0.597492,0.224105,1.000249
0.581381,0.610332,0.235652,1.001119
0.582583,0.621940,0.248655,1.001378
0.583784,0.635579,0.260713,1.001467
0.584985,0.648208,0.272441,1.001724
0.586186,0.660602,0.285338,1.002096
0.587387,0.673129,0.296751,1.001798
0.588589,0.684590,0.308362,1.001885
0.589790,0.696075,0.319878,1.002009
0.590991,0.708794,0.332895,1.002164
0.592192,0.720862,0.346316,1.001771
0.593393,0.731713,0.357181,1.001632
0.594595,0.743702,0.369581,1.000810
0.595796,0.754297,0.383047,0.999537
0.596997,0.764089,0.396018,1.000137
0.598198,0.773214,0.409621,1.000051
0.599399,0.784613,0.422904,0.999373
0.600601,0.796624,0.434866,0.999320
0.601802,0.807110,0.447368,0.999454
0.603003,0.816836,0.459829,0.999283
0.604204,0.826158,0.473855,0.999282
0.605405,0.837763,0.487325,0.999413
0.606607,0.847341,0.500137,0.999618
0.607808,0.857349,0.514626,0.999828
0.609009,0.865573,0.527115,1.000295
0.610210,0.873666,0.541143,1.001364
0.611411,0.882101,0.554075,1.001462
0.612613,0.889278,0.567836,1.001526
0.613814,0.896206,0.580697,1.001653
0.615015,0.902891,0.592672,1.001491
0.616216,0.908199,0.604440,1.002038
0.617417,0.915887,0.616820,1.002182
0.618619,0.922185,0.628870,1.001896
0.619820,0.928903,0.638811,1.002215
0.621021,0.935322,0.650832,1.001957
0.622222,0.940329,0.662305,1.001727
0.623423,0.946730,0.674073,1.001343
0.624625,0.953144,0.685948,1.000829
0.625826,0.958024,0.698978,1.001406
0.627027,0.962174,0.711315,1.001372
0.628228,0.966165,0.722971,1.000858
0.629429,0.969987,0.734329,1.000439
0.630631,0.972674,0.746206,1.001005
0.631832,0.976558,0.758141,1.001642
0.633033,0.980188,0.769461,1.001330
0.634234,0.982242,0.780233,1.001149
0.635435,0.985108,0.790831,1.001208
0.636637,0.987406,0.800780,1.000647
0.637838,0.989441,0.810069,1.000972
0.639039,0.990979,0.820850,1.001611
0.640240,0.991492,0.830341,1.001782
0.641441,0.992682,0.840261,1.001045
0.642643,0.992585,0.850692,1.000806
0.643844,0.991890,0.859743,1.000721
0.645045,0.991592,0.869839,1.000956
0.646246,0.991594,0.877291,1.000855
0.647447,0.989973,0.883841,1.000849
0.648649,0.989139,0.891688,1.000690
0.649850,0.989605,0.899006,1.000808
0.651051,0.988904,0.906855,1.000375
0.652252,0.987349,0.915190,0.999189
0.653453,0.985064,0.921514,0.998857
0.654655,0.982689,0.928535,0.998222
0.655856,0.977669,0.936255,0.998266
0.657057,0.974510,0.942454,0.998840
0.658258,0.970671,0.948827,0.998661
0.659459,0.966682,0.953289,0.997577
0.660661,0.963323,0.958051,0.998022
0.661862,0.957365,0.964258,0.997633
0.663063,0.950773,0.969150,0.997465
0.664264,0.946077,0.974898,0.997632
0.665465,0.939678,0.979181,0.997930
0.666667,0.932836,0.982085,0.997789
0.667868,0.927052,0.984904,0.998120
0.669069,0.918974,0.987491,0.998165
0.670270,0.910664,0.990235,0.998293
0.671471,0.902698,0.992220,0.998076
0.672673,0.894658,0.993583,0.998484
0.673874,0.887122,0.994201,0.999049
0.675075,0.878885,0.995989,0.999631
0.676276,0.869597,0.997041,1.000395
0.677477,0.861895,0.996717,1.000271
0.678679,0.852439,0.995457,1.000146
0.679880,0.843885,0.996236,1.000296
0.681081,0.833353,0.995732,1.000086
0.682282,0.823664,0.994849,1.000104
0.683483,0.814062,0.994320,0.999866
0.684685,0.802816,0.992350,1.001361
0.685886,0.791962,0.989723,1.001783
0.687087,0.782038,0.985208,1.001394
0.688288,0.771076,0.982434,1.000936
0.689489,0.759782,0.980092,1.001476
0.690691,0.747555,0.977465,1.002759
0.691892,0.736505,0.972981,1.002207
0.693093,0.724078,0.969362,1.001840
0.694294,0.712165,0.965001,1.002692
0.695495,0.700294,0.960027,1.002960
0.696697,0.687624,0.955257,1.002698
0.697898,0.675986,0.949887,1.002949
0.699099,0.664273,0.943856,1.002606
0.700300,0.652552,0.937428,1.002021
0.701502,0.639255,0.932467,1.001500
0.702703,0.625986,0.926267,1.001436
0.703904,0.613479,0.920586,1.001317
0.705105,0.601884,0.912706,1.001187
0.706306,0.590451,0.904020,1.000678
0.707508,0.576251,0.896994,1.000340
0.708709,0.564457,0.887915,0.999664
0.709910,0.551736,0.879925,0.999507
0.711111,0.537553,0.872480,0.998877
0.712312,0.523971,0.864839,0.998626
0.713514,0.509864,0.854800,0.998240
0.714715,0.497048,0.845704,0.997831
0.715916,0.483637,0.838020,0.997510
0.717117,0.470580,0.827468,0.996937
0.718318,0.457329,0.818514,0.996294
0.719520,0.443774,0.806893,0.996050
0.720721,0.432167,0.796728,0.997016
0.721922,0.418885,0.787026,0.996264
0.723123,0.406367,0.775130,0.996539
0.724324,0.394130,0.765444,0.997081
0.725526,0.380009,0.754063,0.997425
0.726727,0.369055,0.742657,0.998556
0.727928,0.355850,0.732393,0.999200
0.729129,0.343324,0.722389,0.999859
0.730330,0.331615,0.709994,1.000274
0.731532,0.321378,0.698870,1.000648
0.732733,0.310372,0.687843,1.001219
0.733934,0.298034,0.677150,1.001500
0.735135,0.285881,0.665240,1.001242
0.736336,0.274283,0.652064,1.001759
0.737538,0.263666,0.640341,1.001546
0.738739,0.251546,0.628307,1.001091
0.739940,0.238980,0.614702,1.001617
0.741141,0.227448,0.600636,1.001746
0.742342,0.217281,0.588019,1.001814
0.743544,0.206415,0.576523,1.001928
0.744745,0.196224,0.562025,1.002102
0.745946,0.186616,0.548432,1.001118
0.747147,0.175610,0.535062,1.000745
0.748348,0.164431,0.522640,1.000100
0.749550,0.153199,0.508475,1.000317
0.750751,0.142149,0.495144,1.000392
0.751952,0.132223,0.482237,0.999106
0.753153,0.122408,0.470383,0.998697
0.754354,0.114306,0.457665,0.997638
0.755556,0.104789,0.444344,0.996710
0.756757,0.096713,0.431497,0.995304
0.757958,0.089929,0.418001,0.994428
0.759159,0.081944,0.404496,0.992685
0.760360,0.073724,0.393370,0.990508
